tweet_id,handle,text,candidate,state,sentiment type,sentiment score,created_at,coordinates_lat,coordinates_lon
7.31E+17,SharNeal,RT @1UnderGod: Cheers for Trump!  https://t.co/FrmhieHyhg,Trump,AZ,positive,0.73038,5/11/16 23:15,0,0
7.31E+17,cody_k,RT @nytpolitics: Head of Bernie Sanders‰Ûªs Campaign in California Is Replaced https://t.co/7om2rHrbhu,Sanders,FL,neutral,0,5/11/16 23:15,0,0
7.31E+17,ajain31,"@VotorioA RT Thanks for electing HILLARY as 45th US President by NOT voting 4 TRUMP &amp; defeating him in 2016. https://t.co/lpfyuDQPGa",Clinton,TX,neutral,0,5/11/16 23:15,0,0
7.31E+17,kenolin1,Christie and Trump. Classy. That should elevate the political discourse.,Trump,NY,positive,0.648307,5/11/16 23:15,0,0
7.31E+17,parks_coleman,"@HouseGOP If you really want to be the party of Lincoln, you will #RejectTrump as the #Nominee @realDonaldTrump doesn't represent ANYONE!!!",Trump,TX,negative,-0.375821,5/11/16 23:15,0,0
7.31E+17,Valyss2,Trump!Which will be our Special face today?? You stun #TrumpPutin's man https://t.co/go8gvzpI8J,Trump,CA,positive,0.312409,5/11/16 23:15,0,0
7.31E+17,steph93065,RT @jko417: JOIN TEAM TRUMP: PART OF A MOVEMENT TO TAKE BACK OUR COUNTRY! Donald J. Trump (Vine by @DanScavino) https://t.co/yybBGKeUiK,Trump,CA,positive,0.64617,5/11/16 23:15,0,0
7.31E+17,NewsFreqs,#VIDEO: Speaker Ryan calls for unity ahead of meeting with Trump https://t.co/pRQESPH3rZ #News,Trump,CA,positive,0.398297,5/11/16 23:15,0,0
7.31E+17,SophieInCT,@SusanNealsusan2 Let me tell you about Bernie's VT where people REALLY wanted this until they found out it they couldn't afford it.,Sanders,CT,negative,-0.572132,5/11/16 23:15,0,0
7.31E+17,tomservo10,"@realDonaldTrump should read John Bradshaw's ""Healing The Child Within""",Trump,AZ,neutral,0,5/11/16 23:15,0,0
7.31E+17,NotTheFakeMicah,RT @FoxNews: .@realDonaldTrump: ‰ÛÏThere is a radical Islamic terrorism problem that our president doesn‰Ûªt even want to talk about.‰Ûù #Greta,Trump,HI,neutral,0,5/11/16 23:15,0,0
7.31E+17,WallHaxx,Did staffer who set up #Hillary's email server hide or delete his emails to and from the Secretary? #IndictHillary https://t.co/LTXUdLyYp1,Clinton,FL,negative,-0.324337,5/11/16 23:15,0,0
7.31E+17,ladydiwny,"RT @THExTRUMPxTRAIN: Over 50,000 U.S. Vets are homeless. Trump will make our Veterans a priority and give them benefits over illegals! http‰Û_",Trump,NY,positive,0.137406,5/11/16 23:15,0,0
7.31E+17,and_so_it_goes,@WayneDupreeShow @elizabethforma @realDonaldTrump I keep starting to tweet that Warren is an embarrassment 2Cherokee woman but she isn't one,Trump,CA,negative,-0.656268,5/11/16 23:15,0,0
7.31E+17,floridakarin,RT @mitchellvii: DANA LOESCH ATTACKS DOUBLE-MASTECTOMY TRUMP SUPPORTER AS 'FLAT CHESTED' https://t.co/LL85IqyQ6W,Trump,FL,negative,-0.514836,5/11/16 23:15,0,0
7.31E+17,signoftria,RT @sokeijarhead: Boone Pickens: I support Trump and his plan to ban unvetted Muslim immigrants https://t.co/xbh9L6IeUN,Trump,OK,positive,0.295602,5/11/16 23:15,0,0
7.31E+17,txindyjourno,Anti-choice groups moving ‰ÛÓ reluctantly ‰ÛÓ toward #Trump  https://t.co/75LsoqkXe1 via @politico #reprorights #Election2016,Trump,TX,negative,-0.60831,5/11/16 23:15,0,0
7.31E+17,VoteTrumpUSA,if he cared about the USA he would not be where he is / they are all corrupt now. Vote them out and vote Trump https://t.co/fdXq5F8yPv,Trump,WA,positive,0.00470626,5/11/16 23:15,0,0
7.31E+17,dblgyp,"RT @slone: FREAKOUT AS TRUMP PULLS EVEN: Trump surges in support, almost even w Clinton national poll https://t.co/sIdkKZ2UnV https://t.co/‰Û_",Clinton,CA,positive,0.673977,5/11/16 23:15,0,0
7.31E+17,ClaireLarson,RT @elizabethforma: .@realDonaldTrump spews insults and lies because he can‰Ûªt have an honest conversation about his dangerous vision for Am‰Û_,Trump,NY,negative,-0.663117,5/11/16 23:15,0,0
7.31E+17,loekey3730,@hardball @HeidiPrzybyla @MichaelSteele @GovEdRendell Mr Steel  is spot on. None of Trump supporters give a Rats Ass about his taxes.,Trump,TX,negative,-0.824403,5/11/16 23:15,0,0
7.31E+17,JustinLBC,"@Red3Biggs It means he's getting an easy ride in the media. Hillary is fighting on two fronts, Bernie isn't.",Sanders,CA,positive,0.0807305,5/11/16 23:15,0,0
7.31E+17,Goalie30JP,RT @MariaD2016: Clinton and the DNC r changing the rules for superdelegates @HuffpostBlog https://t.co/QNW3ckcqgL @democracynow @TheDemocra‰Û_,Clinton,PA,negative,-0.395808,5/11/16 23:15,0,0
7.31E+17,DarlaNoelle,Omg I completely forgot Waldo's dad in The Little Rascals was Donald Trump _Ù÷â_Ù÷â makes sense,Trump,CA,negative,-0.804329,5/11/16 23:15,0,0
7.31E+17,wavesofeuphoria,RT @4anniereilly: Bernie Sanders Keeps Winning Primaries and Keeps Shaping the Anti-Trump Agenda via @thenation https://t.co/7nN6jwws83,Sanders,NY,positive,0.758181,5/11/16 23:15,0,0
7.31E+17,boogiefinger,RT @jaketapper: Has Clinton moved too far left during primaries?: https://t.co/BxlO6wab7K @jeffzeleny on #TheLead https://t.co/ldaV2GpOo1,Clinton,MN,negative,-0.552834,5/11/16 23:15,0,0
7.31E+17,DorysMartinez8,"RT @JudgeMoroz: Not quite, @MittRomney ... &amp; such a ""requirement"" is not found in the U.S. Constitution!#Trump for President! https://t.c‰Û_",Trump,FL,positive,0.263824,5/11/16 23:15,0,0
7.31E+17,the_fire_berns,RT @PamRynolds: Bernie Sanders #FEELtheBERN Large White Custom Decal IntlShip #democrat  #sgp #dnc #CTL #sgp #BLM https://t.co/lR70YplSb0,Sanders,VT,neutral,0,5/11/16 23:15,0,0
7.31E+17,georgiatauchas,"RT @Lagartija_Nix: CNN ESTIMATED REPUBLICAN DELEGATE COUNT: TRUMP 1147 Last updated May 11, 2016 at 5:59 PM ET https://t.co/jhPprETGu2",Trump,IA,neutral,0,5/11/16 23:15,0,0
7.31E+17,lauraj55,RT @BarbaraBoxer: I can't wait to call Hillary Clinton Madame President when we make history in Nov. #WomensHistoryMonth #ImWithHer https:/‰Û_,Clinton,IL,neutral,0,5/11/16 23:15,0,0
7.31E+17,caryjfries,@corrcomm @HillaryClinton She hasn't played the gender card yet?  Must be saving that one for desperate times.,Clinton,ND,negative,-0.413216,5/11/16 23:15,0,0
